id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,16,62,7,66,71,FALSE,FALSE
,16,61,7,66,71,FALSE,FALSE
,16,60,7,66,71,FALSE,FALSE
,16,59,7,66,71,FALSE,FALSE
,16,58,7,66,71,FALSE,FALSE
,25,57,8,66,71,FALSE,FALSE
,25,56,8,66,71,FALSE,FALSE
,25,55,8,66,71,FALSE,FALSE
,25,54,8,66,71,FALSE,FALSE
,25,53,8,66,71,FALSE,FALSE
,25,52,8,66,71,FALSE,FALSE
,25,51,8,66,71,FALSE,FALSE
,37,50,9,66,71,FALSE,FALSE
,37,49,9,66,71,FALSE,FALSE
,37,48,9,66,71,FALSE,FALSE
,37,47,9,66,71,FALSE,FALSE
,37,46,9,66,71,FALSE,FALSE
,37,45,9,66,71,FALSE,FALSE
,37,44,9,66,71,FALSE,FALSE
,37,43,9,66,71,FALSE,FALSE
,50,42,10,66,71,FALSE,FALSE
,50,41,10,66,71,FALSE,FALSE
,50,40,10,66,71,FALSE,FALSE
,50,39,10,66,71,FALSE,FALSE
,50,38,10,66,71,FALSE,FALSE
,50,37,10,66,71,FALSE,FALSE
,50,36,10,66,71,FALSE,FALSE
,50,35,10,66,71,FALSE,FALSE
,63,34,11,66,71,FALSE,FALSE
,63,33,11,66,71,FALSE,FALSE
,63,32,11,66,71,FALSE,FALSE
,63,31,11,66,71,FALSE,FALSE
,63,30,11,66,71,FALSE,FALSE
,75,29,12,66,71,FALSE,FALSE
,75,28,12,66,71,FALSE,FALSE
,75,27,12,66,71,FALSE,FALSE
,75,26,12,66,71,FALSE,FALSE
,75,25,12,66,71,FALSE,FALSE
,75,24,12,66,71,FALSE,FALSE
,84,23,13,66,71,FALSE,FALSE
,84,22,13,66,71,FALSE,FALSE
,84,21,13,66,71,FALSE,FALSE
,91,20,14,66,71,FALSE,FALSE
,91,19,14,66,71,FALSE,FALSE
,91,18,14,66,71,FALSE,FALSE
,91,17,14,66,71,FALSE,FALSE
,91,16,14,66,71,FALSE,FALSE
,95,15,15,66,71,FALSE,FALSE
,95,14,15,66,71,FALSE,FALSE
,95,13,15,66,71,FALSE,FALSE
,95,12,15,66,71,FALSE,FALSE
,98,11,16,66,71,FALSE,FALSE
,98,10,16,66,71,FALSE,FALSE
,99,9,17,66,71,FALSE,FALSE
,100,8,18,66,71,FALSE,FALSE
,100,7,19,66,71,FALSE,FALSE
,100,6,20,66,71,FALSE,TRUE
,0,85,1,72,77,TRUE,FALSE
,0,84,2,72,77,FALSE,FALSE
,0,83,2,72,77,FALSE,FALSE
,0,82,2,72,77,FALSE,FALSE
,0,81,2,72,77,FALSE,FALSE
,0,80,2,72,77,FALSE,FALSE
,1,79,3,72,77,FALSE,FALSE
,1,78,3,72,77,FALSE,FALSE
,1,77,3,72,77,FALSE,FALSE
,1,76,3,72,77,FALSE,FALSE
,1,75,3,72,77,FALSE,FALSE
,2,74,4,72,77,FALSE,FALSE
,2,73,4,72,77,FALSE,FALSE
,2,72,4,72,77,FALSE,FALSE
,2,71,4,72,77,FALSE,FALSE
,2,70,4,72,77,FALSE,FALSE
,2,69,4,72,77,FALSE,FALSE
,5,68,5,72,77,FALSE,FALSE
,5,67,5,72,77,FALSE,FALSE
,5,66,5,72,77,FALSE,FALSE
,5,65,5,72,77,FALSE,FALSE
,9,64,6,72,77,FALSE,FALSE
,9,63,6,72,77,FALSE,FALSE
,9,62,6,72,77,FALSE,FALSE
,9,61,6,72,77,FALSE,FALSE
,9,60,6,72,77,FALSE,FALSE
,9,59,6,72,77,FALSE,FALSE
,9,58,6,72,77,FALSE,FALSE
,16,57,7,72,77,FALSE,FALSE
,16,56,7,72,77,FALSE,FALSE
,16,55,7,72,77,FALSE,FALSE
,16,54,7,72,77,FALSE,FALSE
,16,53,7,72,77,FALSE,FALSE
,16,52,7,72,77,FALSE,FALSE
,16,51,7,72,77,FALSE,FALSE
,25,50,8,72,77,FALSE,FALSE
,25,49,8,72,77,FALSE,FALSE
,25,48,8,72,77,FALSE,FALSE
,25,47,8,72,77,FALSE,FALSE
,25,46,8,72,77,FALSE,FALSE
,25,45,8,72,77,FALSE,FALSE
,25,44,8,72,77,FALSE,FALSE
,25,43,8,72,77,FALSE,FALSE
,37,42,9,72,77,FALSE,FALSE
,37,41,9,72,77,FALSE,FALSE
,37,40,9,72,77,FALSE,FALSE
,37,39,9,72,77,FALSE,FALSE
,37,38,9,72,77,FALSE,FALSE
,37,37,9,72,77,FALSE,FALSE
,37,36,9,72,77,FALSE,FALSE
,37,35,9,72,77,FALSE,FALSE
,50,34,10,72,77,FALSE,FALSE
,50,33,10,72,77,FALSE,FALSE
,50,32,10,72,77,FALSE,FALSE
,50,31,10,72,77,FALSE,FALSE
,50,30,10,72,77,FALSE,FALSE
,63,29,11,72,77,FALSE,FALSE
,63,28,11,72,77,FALSE,FALSE
,63,27,11,72,77,FALSE,FALSE
,63,26,11,72,77,FALSE,FALSE
,63,25,11,72,77,FALSE,FALSE
,63,24,11,72,77,FALSE,FALSE
,75,23,12,72,77,FALSE,FALSE
,75,22,12,72,77,FALSE,FALSE
,75,21,12,72,77,FALSE,FALSE
,84,20,13,72,77,FALSE,FALSE
,84,19,13,72,77,FALSE,FALSE
,84,18,13,72,77,FALSE,FALSE
,84,17,13,72,77,FALSE,FALSE
,91,16,14,72,77,FALSE,FALSE
,91,15,14,72,77,FALSE,FALSE
,91,14,14,72,77,FALSE,FALSE
,95,13,15,72,77,FALSE,FALSE
,95,12,15,72,77,FALSE,FALSE
,95,11,15,72,77,FALSE,FALSE
,98,10,16,72,77,FALSE,FALSE
,99,9,17,72,77,FALSE,FALSE
,100,8,18,72,77,FALSE,FALSE
,100,7,19,72,77,FALSE,FALSE
,100,6,20,72,77,FALSE,TRUE
,0,80,1,78,83,TRUE,FALSE
,0,79,2,78,83,FALSE,FALSE
,0,78,2,78,83,FALSE,FALSE
,0,77,2,78,83,FALSE,FALSE
,0,76,2,78,83,FALSE,FALSE
,0,75,2,78,83,FALSE,FALSE
,1,74,3,78,83,FALSE,FALSE
,1,73,3,78,83,FALSE,FALSE
,1,72,3,78,83,FALSE,FALSE
,1,71,3,78,83,FALSE,FALSE
,1,70,3,78,83,FALSE,FALSE
,1,69,3,78,83,FALSE,FALSE
,2,68,4,78,83,FALSE,FALSE
,2,67,4,78,83,FALSE,FALSE
,2,66,4,78,83,FALSE,FALSE
,2,65,4,78,83,FALSE,FALSE
,5,64,5,78,83,FALSE,FALSE
,5,63,5,78,83,FALSE,FALSE
,5,62,5,78,83,FALSE,FALSE
,5,61,5,78,83,FALSE,FALSE
,5,60,5,78,83,FALSE,FALSE
,5,59,5,78,83,FALSE,FALSE
,5,58,5,78,83,FALSE,FALSE
,9,57,6,78,83,FALSE,FALSE
,9,56,6,78,83,FALSE,FALSE
,9,55,6,78,83,FALSE,FALSE
,9,54,6,78,83,FALSE,FALSE
,9,53,6,78,83,FALSE,FALSE
,9,52,6,78,83,FALSE,FALSE
,9,51,6,78,83,FALSE,FALSE
,16,50,7,78,83,FALSE,FALSE
,16,49,7,78,83,FALSE,FALSE
,16,48,7,78,83,FALSE,FALSE
,16,47,7,78,83,FALSE,FALSE
,16,46,7,78,83,FALSE,FALSE
,16,45,7,78,83,FALSE,FALSE
,16,44,7,78,83,FALSE,FALSE
,16,43,7,78,83,FALSE,FALSE
,25,42,8,78,83,FALSE,FALSE
,25,41,8,78,83,FALSE,FALSE
,25,40,8,78,83,FALSE,FALSE
,25,39,8,78,83,FALSE,FALSE
,25,38,8,78,83,FALSE,FALSE
,25,37,8,78,83,FALSE,FALSE
,25,36,8,78,83,FALSE,FALSE
,25,35,8,78,83,FALSE,FALSE
,37,34,9,78,83,FALSE,FALSE
,37,33,9,78,83,FALSE,FALSE
,37,32,9,78,83,FALSE,FALSE
,37,31,9,78,83,FALSE,FALSE
,37,30,9,78,83,FALSE,FALSE
,50,29,10,78,83,FALSE,FALSE
,50,28,10,78,83,FALSE,FALSE
,50,27,10,78,83,FALSE,FALSE
,50,26,10,78,83,FALSE,FALSE
,50,25,10,78,83,FALSE,FALSE
,50,24,10,78,83,FALSE,FALSE
,63,23,11,78,83,FALSE,FALSE
,63,22,11,78,83,FALSE,FALSE
,63,21,11,78,83,FALSE,FALSE
,75,20,12,78,83,FALSE,FALSE
,75,19,12,78,83,FALSE,FALSE
,75,18,12,78,83,FALSE,FALSE
,84,17,13,78,83,FALSE,FALSE
