id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,75,29,12,132,143,FALSE,FALSE
,84,30,13,132,143,FALSE,FALSE
,91,31,14,132,143,FALSE,FALSE
,95,32,15,132,143,FALSE,TRUE
,0,0,1,156,167,TRUE,FALSE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,2,156,167,FALSE,FALSE
,0,4,2,156,167,FALSE,FALSE
,0,5,2,156,167,FALSE,FALSE
,1,6,3,156,167,FALSE,FALSE
,1,7,3,156,167,FALSE,FALSE
,1,8,3,156,167,FALSE,FALSE
,1,9,3,156,167,FALSE,FALSE
,1,10,3,156,167,FALSE,FALSE
,2,11,4,156,167,FALSE,FALSE
,2,12,4,156,167,FALSE,FALSE
,2,13,4,156,167,FALSE,FALSE
,2,14,4,156,167,FALSE,FALSE
,2,15,4,156,167,FALSE,FALSE
,5,16,5,156,167,FALSE,FALSE
,5,17,5,156,167,FALSE,FALSE
,5,18,5,156,167,FALSE,FALSE
,5,19,5,156,167,FALSE,FALSE
,9,20,6,156,167,FALSE,FALSE
,9,21,6,156,167,FALSE,FALSE
,16,22,7,156,167,FALSE,FALSE
,16,23,7,156,167,FALSE,FALSE
,25,24,8,156,167,FALSE,FALSE
,37,25,9,156,167,FALSE,FALSE
,37,26,9,156,167,FALSE,FALSE
,50,27,10,156,167,FALSE,FALSE
,63,28,11,156,167,FALSE,FALSE
,75,29,12,156,167,FALSE,FALSE
,84,30,13,156,167,FALSE,FALSE
,91,31,14,156,167,FALSE,FALSE
,95,32,15,156,167,FALSE,TRUE
,0,0,1,168,179,TRUE,FALSE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,2,168,179,FALSE,FALSE
,0,4,2,168,179,FALSE,FALSE
,0,5,2,168,179,FALSE,FALSE
,1,6,3,168,179,FALSE,FALSE
,1,7,3,168,179,FALSE,FALSE
,1,8,3,168,179,FALSE,FALSE
,1,9,3,168,179,FALSE,FALSE
,1,10,3,168,179,FALSE,FALSE
,2,11,4,168,179,FALSE,FALSE
,2,12,4,168,179,FALSE,FALSE
,2,13,4,168,179,FALSE,FALSE
,2,14,4,168,179,FALSE,FALSE
,2,15,4,168,179,FALSE,FALSE
,5,16,5,168,179,FALSE,FALSE
,5,17,5,168,179,FALSE,FALSE
,5,18,5,168,179,FALSE,FALSE
,5,19,5,168,179,FALSE,FALSE
,9,20,6,168,179,FALSE,FALSE
,9,21,6,168,179,FALSE,FALSE
,16,22,7,168,179,FALSE,FALSE
,16,23,7,168,179,FALSE,FALSE
