id,Percentile_Rank,Rapid_Letter_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,100,10,19,66,71,FALSE,FALSE
,100,9,20,66,71,FALSE,TRUE
,0,118,1,72,77,TRUE,FALSE
,0,117,2,72,77,FALSE,FALSE
,0,116,2,72,77,FALSE,FALSE
,0,115,2,72,77,FALSE,FALSE
,0,114,2,72,77,FALSE,FALSE
,0,113,2,72,77,FALSE,FALSE
,0,112,2,72,77,FALSE,FALSE
,0,111,2,72,77,FALSE,FALSE
,0,110,2,72,77,FALSE,FALSE
,0,109,2,72,77,FALSE,FALSE
,1,108,3,72,77,FALSE,FALSE
,1,107,3,72,77,FALSE,FALSE
,1,106,3,72,77,FALSE,FALSE
,1,105,3,72,77,FALSE,FALSE
,1,104,3,72,77,FALSE,FALSE
,1,103,3,72,77,FALSE,FALSE
,1,102,3,72,77,FALSE,FALSE
,1,101,3,72,77,FALSE,FALSE
,1,100,3,72,77,FALSE,FALSE
,1,99,3,72,77,FALSE,FALSE
,1,98,3,72,77,FALSE,FALSE
,1,97,3,72,77,FALSE,FALSE
,1,96,3,72,77,FALSE,FALSE
,1,95,3,72,77,FALSE,FALSE
,2,94,4,72,77,FALSE,FALSE
,2,93,4,72,77,FALSE,FALSE
,2,92,4,72,77,FALSE,FALSE
,2,91,4,72,77,FALSE,FALSE
,2,90,4,72,77,FALSE,FALSE
,2,89,4,72,77,FALSE,FALSE
,2,88,4,72,77,FALSE,FALSE
,2,87,4,72,77,FALSE,FALSE
,5,86,5,72,77,FALSE,FALSE
,5,85,5,72,77,FALSE,FALSE
,5,84,5,72,77,FALSE,FALSE
,5,83,5,72,77,FALSE,FALSE
,5,82,5,72,77,FALSE,FALSE
,5,81,5,72,77,FALSE,FALSE
,5,80,5,72,77,FALSE,FALSE
,5,79,5,72,77,FALSE,FALSE
,9,78,6,72,77,FALSE,FALSE
,9,77,6,72,77,FALSE,FALSE
,9,76,6,72,77,FALSE,FALSE
,9,75,6,72,77,FALSE,FALSE
,9,74,6,72,77,FALSE,FALSE
,9,73,6,72,77,FALSE,FALSE
,9,72,6,72,77,FALSE,FALSE
,9,71,6,72,77,FALSE,FALSE
,16,70,7,72,77,FALSE,FALSE
,16,69,7,72,77,FALSE,FALSE
,16,68,7,72,77,FALSE,FALSE
,16,67,7,72,77,FALSE,FALSE
,16,66,7,72,77,FALSE,FALSE
,16,65,7,72,77,FALSE,FALSE
,25,64,8,72,77,FALSE,FALSE
,25,63,8,72,77,FALSE,FALSE
,25,62,8,72,77,FALSE,FALSE
,25,61,8,72,77,FALSE,FALSE
,25,60,8,72,77,FALSE,FALSE
,25,59,8,72,77,FALSE,FALSE
,25,58,8,72,77,FALSE,FALSE
,25,57,8,72,77,FALSE,FALSE
,25,56,8,72,77,FALSE,FALSE
,25,55,8,72,77,FALSE,FALSE
,37,54,9,72,77,FALSE,FALSE
,37,53,9,72,77,FALSE,FALSE
,37,52,9,72,77,FALSE,FALSE
,37,51,9,72,77,FALSE,FALSE
,37,50,9,72,77,FALSE,FALSE
,37,49,9,72,77,FALSE,FALSE
,37,48,9,72,77,FALSE,FALSE
,37,47,9,72,77,FALSE,FALSE
,37,46,9,72,77,FALSE,FALSE
,37,45,9,72,77,FALSE,FALSE
,50,44,10,72,77,FALSE,FALSE
,50,43,10,72,77,FALSE,FALSE
